variant,seed,holdout_season,feature_count,model_name,log_loss,brier_score,accuracy,n_games,accuracy_conf_55,coverage_conf_55,accuracy_conf_60,coverage_conf_60,accuracy_conf_65,coverage_conf_65,baseline_log_loss,baseline_accuracy,log_loss_delta_vs_baseline,accuracy_delta_vs_baseline
no_env,33,2024,140,extra_trees,0.6857445529450069,0.24632210643453067,0.5465587044534413,741.0,0.6081871345029239,0.23076923076923078,0.6153846153846154,0.03508771929824561,1.0,0.002699055330634278,0.6912012345854196,0.5195681511470985,-0.005456681640412686,0.026990553306342813
no_env,33,2024,140,random_forest_shallow,0.6867545421535532,0.2468434022745238,0.5546558704453441,741.0,0.5871559633027523,0.2941970310391363,0.5517241379310345,0.07827260458839407,0.8333333333333334,0.016194331983805668,0.6912012345854196,0.5195681511470985,-0.00444669243186635,0.03508771929824561
no_env,33,2024,140,random_forest,0.6867994128555072,0.24685129359562982,0.553306342780027,741.0,0.5912162162162162,0.39946018893387314,0.5666666666666667,0.1214574898785425,0.75,0.021592442645074223,0.6912012345854196,0.5195681511470985,-0.004401821729912436,0.03373819163292846
no_env,33,2025,140,extra_trees,0.6793997764613814,0.2432154858816585,0.5617367706919946,737.0,0.6171617161716172,0.41112618724559025,0.7205882352941176,0.09226594301221167,1.0,0.0067842605156037995,0.6824891865231572,0.5590230664857531,-0.003089410061775766,0.0027137042062415073
no_env,33,2025,140,random_forest_shallow,0.6797101125491062,0.24339360920883113,0.5549525101763908,737.0,0.6029411764705882,0.46132971506105835,0.6938775510204082,0.13297150610583447,0.75,0.021709633649932156,0.6824891865231572,0.5590230664857531,-0.002779073974050972,-0.004070556309362261
no_env,33,2025,140,random_forest,0.6840225955767456,0.24551093524416975,0.5332428765264586,737.0,0.5918918918918918,0.5020352781546812,0.6470588235294118,0.18453188602442333,0.7272727272727273,0.029850746268656716,0.6824891865231572,0.5590230664857531,0.0015334090535884526,-0.02578018995929443
no_env,33,2026,140,random_forest_shallow,0.6887907377027289,0.24794056591530292,0.5401459854014599,274.0,0.5462962962962963,0.39416058394160586,0.6296296296296297,0.09854014598540146,1.0,0.01824817518248175,0.6879500652375902,0.5255474452554745,0.0008406724651387476,0.014598540145985384
no_env,33,2026,140,random_forest,0.6895647874003357,0.2482912737784252,0.5437956204379562,274.0,0.5284552845528455,0.4489051094890511,0.68,0.09124087591240876,0.8333333333333334,0.021897810218978103,0.6879500652375902,0.5255474452554745,0.0016147221627454966,0.018248175182481674
no_env,33,2026,140,extra_trees,0.6905150970080254,0.24871905630357244,0.5072992700729927,274.0,0.5595238095238095,0.30656934306569344,0.6153846153846154,0.04744525547445255,1.0,0.0036496350364963502,0.6879500652375902,0.5255474452554745,0.002565031770435211,-0.018248175182481785
no_public_proxy,11,2022,112,random_forest_shallow,0.686550272894198,0.2467262750042234,0.533083645443196,801.0,0.5922619047619048,0.41947565543071164,0.6575342465753424,0.09113607990012484,0.6666666666666666,0.00749063670411985,0.6854688166224917,0.5393258426966292,0.0010814562717063048,-0.006242197253433224
