holdout_season,model_name,game_id,game_date,season,home_team,away_team,home_score,away_score,home_team_win,home_win_probability,away_win_probability,raw_win_pick,win_confidence,actual_winner,win_edge,win_pick_rule,rule_win_pick,rule_win_correct,random_forest_shallow_raw_win_pick,random_forest_shallow_win_confidence,random_forest_shallow_agrees,soft_voting_raw_win_pick,soft_voting_win_confidence,soft_voting_agrees,agreement_models,agreement_required,models_agree
2022,random_forest,661643,2022-04-13 17:05:00+00:00,2022,PHI,NYM,6.0,9.0,0,0.5097616177317414,0.49023838226825855,PHI,0.5097616177317414,NYM,0.009761617731741445,pass,,,PHI,0.5336005198866715,True,NYM,0.5092826606650384,False,1,2,False
2022,random_forest,661734,2022-04-13 17:10:00+00:00,2022,MIN,LAD,0.0,7.0,0,0.5357412306875164,0.46425876931248355,MIN,0.5357412306875164,LAD,0.035741230687516445,lean,MIN,0.0,MIN,0.5703121944565046,True,MIN,0.5906123387225545,True,2,2,True
2022,random_forest,662885,2022-04-13 17:10:00+00:00,2022,DET,BOS,7.0,9.0,0,0.547498674304686,0.452501325695314,DET,0.547498674304686,BOS,0.04749867430468602,lean,DET,0.0,DET,0.52203895045714,True,DET,0.558940046292266,True,2,2,True
2022,random_forest,663341,2022-04-13 19:40:00+00:00,2022,AZ,HOU,3.0,2.0,1,0.5312598566654905,0.46874014333450953,AZ,0.5312598566654905,AZ,0.03125985666549047,lean,AZ,1.0,AZ,0.5680247071493021,True,AZ,0.5245242551521827,True,2,2,True
2022,random_forest,662115,2022-04-13 19:45:00+00:00,2022,SF,SD,2.0,1.0,1,0.589117629304721,0.410882370695279,SF,0.589117629304721,SF,0.089117629304721,strong,SF,1.0,SF,0.5997830969256842,True,SF,0.6509054863091616,True,2,2,True
2022,random_forest,661943,2022-04-13 22:40:00+00:00,2022,TB,OAK,2.0,4.0,0,0.47794962435184296,0.522050375648157,OAK,0.522050375648157,OAK,0.02205037564815704,pass,,,TB,0.5237763954211558,False,TB,0.5239218288327557,False,0,2,False
2022,random_forest,661313,2022-04-13 23:05:00+00:00,2022,NYY,TOR,4.0,6.0,0,0.49416287326041036,0.5058371267395896,TOR,0.5058371267395896,TOR,0.005837126739589582,pass,,,TOR,0.5021931557581303,True,TOR,0.566940135278256,True,2,2,True
2022,random_forest,663433,2022-04-13 23:05:00+00:00,2022,BAL,MIL,2.0,4.0,0,0.5543918858260277,0.4456081141739723,BAL,0.5543918858260277,MIL,0.05439188582602772,strong,BAL,0.0,BAL,0.5652317714916443,True,BAL,0.5717275315445732,True,2,2,True
2022,random_forest,661530,2022-04-13 23:10:00+00:00,2022,CWS,SEA,6.0,4.0,1,0.4808148485828715,0.5191851514171285,SEA,0.5191851514171285,CWS,0.01918515141712851,pass,,,CWS,0.5133446352310064,False,CWS,0.6037079140916085,False,0,2,False
2022,random_forest,661942,2022-04-14 17:10:00+00:00,2022,TB,OAK,3.0,6.0,0,0.54595041787475,0.45404958212525004,TB,0.54595041787475,OAK,0.04595041787474996,lean,TB,0.0,TB,0.5507119528159932,True,TB,0.596470034001231,True,2,2,True
